year,value,source,note
1992,23319807,Economic Commission for Latin America and the Caribbean,
1993,24670828,Economic Commission for Latin America and the Caribbean,
1994,24964528,Economic Commission for Latin America and the Caribbean,
1995,24435868,Economic Commission for Latin America and the Caribbean,
1996,24318388,Economic Commission for Latin America and the Caribbean,
1997,23730987,Economic Commission for Latin America and the Caribbean,
1998,27725312,Economic Commission for Latin America and the Caribbean,
1999,31073496,Economic Commission for Latin America and the Caribbean,
2000,34362939,Economic Commission for Latin America and the Caribbean,
2001,39003405,Economic Commission for Latin America and the Caribbean,
2002,39943246,Economic Commission for Latin America and the Caribbean,
2003,45758513,Economic Commission for Latin America and the Caribbean,
2004,49576617,Economic Commission for Latin America and the Caribbean,
2005,51750000,Economic Commission for Latin America and the Caribbean,
2006,51397559,Economic Commission for Latin America and the Caribbean,
2007,53688422,Economic Commission for Latin America and the Caribbean,
2008,51221339,Economic Commission for Latin America and the Caribbean,
2009,45875993,Economic Commission for Latin America and the Caribbean,
2010,47585111,Economic Commission for Latin America and the Caribbean,
2011,48391414,Economic Commission for Latin America and the Caribbean,
2012,53722472,Economic Commission for Latin America and the Caribbean,
