year,value,source,notes
2000,4470390,Economic Commission for Latin America and the Caribbean,
2001,5050494,Economic Commission for Latin America and the Caribbean,
2002,5752668,Economic Commission for Latin America and the Caribbean,
2003,5399598,Economic Commission for Latin America and the Caribbean,
2004,5685854,Economic Commission for Latin America and the Caribbean,
2005,5547664,Economic Commission for Latin America and the Caribbean,
2006,6050513,Economic Commission for Latin America and the Caribbean,
2007,6053581,Economic Commission for Latin America and the Caribbean,
2008,6150368,Economic Commission for Latin America and the Caribbean,
2009,5901241,Economic Commission for Latin America and the Caribbean,
2010,5932084,Economic Commission for Latin America and the Caribbean,
2011,6421433,Economic Commission for Latin America and the Caribbean,
2012,6320039,Economic Commission for Latin America and the Caribbean,
