year,value,source,notes
1990,992918664,Economic Commission for Latin America and the Caribbean,
1991,1127420412,Economic Commission for Latin America and the Caribbean,
1992,1378503855,Economic Commission for Latin America and the Caribbean,
1993,1642028986,Economic Commission for Latin America and the Caribbean,
1994,1779337493,Economic Commission for Latin America and the Caribbean,
1995,2073908158,Economic Commission for Latin America and the Caribbean,
1996,2228822828,Economic Commission for Latin America and the Caribbean,
1997,2582158952,Economic Commission for Latin America and the Caribbean,
1998,2576446730,Economic Commission for Latin America and the Caribbean,
1999,2756929461,Economic Commission for Latin America and the Caribbean,
2000,3005528479,Economic Commission for Latin America and the Caribbean,
2001,2961845633,Economic Commission for Latin America and the Caribbean,
2002,3043890351,Economic Commission for Latin America and the Caribbean,
2003,3459219730,Economic Commission for Latin America and the Caribbean,
2004,3568417064,Economic Commission for Latin America and the Caribbean,
2005,3889123100,Economic Commission for Latin America and the Caribbean,
2006,4079269657,Economic Commission for Latin America and the Caribbean,
2007,4229117665,Economic Commission for Latin America and the Caribbean,
2008,4374075071,Economic Commission for Latin America and the Caribbean,
2009,4222094762,Economic Commission for Latin America and the Caribbean,
2010,4421768210,Economic Commission for Latin America and the Caribbean,
2011,4634196344,Economic Commission for Latin America and the Caribbean,
2012,4780288370,Economic Commission for Latin America and the Caribbean,
