year,value,source,note
2000,77665938,Economic Commission for Latin America and the Caribbean,
2001,70538423,Economic Commission for Latin America and the Caribbean,
2002,69968657,Economic Commission for Latin America and the Caribbean,
2003,80393335,Economic Commission for Latin America and the Caribbean,
2004,84997410,Economic Commission for Latin America and the Caribbean,
2005,89315045,Economic Commission for Latin America and the Caribbean,
2006,87355894,Economic Commission for Latin America and the Caribbean,
2007,87887513,Economic Commission for Latin America and the Caribbean,
2008,85043029,Economic Commission for Latin America and the Caribbean,
2009,84278678,Economic Commission for Latin America and the Caribbean,
2010,90352119,Economic Commission for Latin America and the Caribbean,
2011,88534301,Economic Commission for Latin America and the Caribbean,
2012,90866235,Economic Commission for Latin America and the Caribbean,
