year,value,source,notes
1990,93741905,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,93632928,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,99365112,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,116045838,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,132094499,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,104210950,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,110030315,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,116314648,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,113713733,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,116779616,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,115689847,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,109256164,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,111640561,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,122201716,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,125312011,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,125451092,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,127449774,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,134210026,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,137323172,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,126260226,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,124830356,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,130284781,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,133176178,CEPALStat: 733,"CEPALStat: 6432,6495"
