year,value,source,notes
1997,537814067,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,638725162,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,803589319,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,871254313,CEPALStat: 733,"CEPALStat: 6495,6432"
2001,959821436,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,946726127,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,944051703,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,943055819,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,1058670000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1091991026,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1286362295,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1218233178,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1173225858,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1197987689,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1392324616,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1407503270,CEPALStat: 733,"CEPALStat: 6432,6495"
