year,value,source,notes
2002,1785476513,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,2006920883,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,2080779904,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,2171200000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,2151357548,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,2255960528,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,2485811811,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,2736423116,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,2934503539,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,3200369445,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,3202319281,CEPALStat: 733,"CEPALStat: 6432,6495"
