year,value,source,notes
1990,992918664,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1127420412,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1378503855,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1642028986,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1779337493,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,2073908158,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,2228822828,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,2582158952,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,2576446730,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,2756929461,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,3005528479,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2961845633,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,3043890351,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,3459219730,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,3568417064,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,3889123100,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,4079269657,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,4229117665,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,4374075071,CEPALStat: 733,"CEPALStat: 6495,6432"
2009,4222094762,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,4421768210,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,4634196344,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,4780288370,CEPALStat: 733,"CEPALStat: 6432,6495"
