year,value,source,notes
1990,13671418,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,14929978,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,17511260,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,17906102,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,22471468,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,21291876,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,22135852,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,22066754,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,22520823,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,25037943,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,25753595,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,24184404,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,25528421,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,28322847,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,23767938,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,14854347,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,25214265,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,25820768,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,26587458,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,23331524,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,20154344,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,22962175,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,24314105,CEPALStat: 733,"CEPALStat: 6432,6495"
