year,value,source,notes
2000,19683715,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,20508236,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,19791152,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,25822493,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,33382442,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,39779021,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,39389741,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,34879739,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,36158231,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,26478767,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,27903393,CEPALStat: 733,"CEPALStat: 6495,6432"
2011,28828167,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,29529124,CEPALStat: 733,"CEPALStat: 6432,6495"
