year,value,source,note
1990,14953208,Economic Commission for Latin America and the Caribbean,
1991,14131548,Economic Commission for Latin America and the Caribbean,
1992,13285140,Economic Commission for Latin America and the Caribbean,
1993,12621873,Economic Commission for Latin America and the Caribbean,
1994,12874311,Economic Commission for Latin America and the Caribbean,
1995,12230843,Economic Commission for Latin America and the Caribbean,
1996,12725818,Economic Commission for Latin America and the Caribbean,
1997,13489367,Economic Commission for Latin America and the Caribbean,
1998,14230544,Economic Commission for Latin America and the Caribbean,
1999,14869062,Economic Commission for Latin America and the Caribbean,
2000,15314540,Economic Commission for Latin America and the Caribbean,
2001,15602784,Economic Commission for Latin America and the Caribbean,
2002,16432069,Economic Commission for Latin America and the Caribbean,
2003,16673695,Economic Commission for Latin America and the Caribbean,
2004,17475586,Economic Commission for Latin America and the Caribbean,
2005,18327336,Economic Commission for Latin America and the Caribbean,
2006,20604046,Economic Commission for Latin America and the Caribbean,
2007,22487391,Economic Commission for Latin America and the Caribbean,
2008,20433086,Economic Commission for Latin America and the Caribbean,
2009,22601694,Economic Commission for Latin America and the Caribbean,
2010,20610333,Economic Commission for Latin America and the Caribbean,
2011,21181427,Economic Commission for Latin America and the Caribbean,
2012,18561199,Economic Commission for Latin America and the Caribbean,
