year,value,source,note
1990,227473587,Economic Commission for Latin America and the Caribbean,
1991,217039186,Economic Commission for Latin America and the Caribbean,
1992,198216271,Economic Commission for Latin America and the Caribbean,
1993,191623439,Economic Commission for Latin America and the Caribbean,
1994,197062637,Economic Commission for Latin America and the Caribbean,
1995,206293947,Economic Commission for Latin America and the Caribbean,
1996,229745662,Economic Commission for Latin America and the Caribbean,
1997,249986363,Economic Commission for Latin America and the Caribbean,
1998,246757507,Economic Commission for Latin America and the Caribbean,
1999,279083654,Economic Commission for Latin America and the Caribbean,
2000,301167481,Economic Commission for Latin America and the Caribbean,
2001,261545421,Economic Commission for Latin America and the Caribbean,
2002,243841580,Economic Commission for Latin America and the Caribbean,
2003,313686662,Economic Commission for Latin America and the Caribbean,
2004,343891396,Economic Commission for Latin America and the Caribbean,
2005,324565000,Economic Commission for Latin America and the Caribbean,
2006,359469760,Economic Commission for Latin America and the Caribbean,
2007,314176375,Economic Commission for Latin America and the Caribbean,
2008,291222850,Economic Commission for Latin America and the Caribbean,
2009,273776058,Economic Commission for Latin America and the Caribbean,
2010,300992729,Economic Commission for Latin America and the Caribbean,
2011,295443324,Economic Commission for Latin America and the Caribbean,
2012,343960484,Economic Commission for Latin America and the Caribbean,
