year,value,source,notes
1990,372670965,Economic Commission for Latin America and the Caribbean,
1991,355288132,Economic Commission for Latin America and the Caribbean,
1992,329001898,Economic Commission for Latin America and the Caribbean,
1993,332817642,Economic Commission for Latin America and the Caribbean,
1994,328153955,Economic Commission for Latin America and the Caribbean,
1995,345112816,Economic Commission for Latin America and the Caribbean,
1996,367159335,Economic Commission for Latin America and the Caribbean,
1997,384966139,Economic Commission for Latin America and the Caribbean,
1998,310347151,Economic Commission for Latin America and the Caribbean,
1999,293812262,Economic Commission for Latin America and the Caribbean,
2000,286604746,Economic Commission for Latin America and the Caribbean,
2001,258622626,Economic Commission for Latin America and the Caribbean,
2002,261166455,Economic Commission for Latin America and the Caribbean,
2003,256926740,Economic Commission for Latin America and the Caribbean,
2004,262438370,Economic Commission for Latin America and the Caribbean,
2005,267950000,Economic Commission for Latin America and the Caribbean,
2006,266254113,Economic Commission for Latin America and the Caribbean,
2007,263286313,Economic Commission for Latin America and the Caribbean,
2008,257350712,Economic Commission for Latin America and the Caribbean,
2009,225976819,Economic Commission for Latin America and the Caribbean,
2010,216225474,Economic Commission for Latin America and the Caribbean,
2011,204778243,Economic Commission for Latin America and the Caribbean,
2012,190787183,Economic Commission for Latin America and the Caribbean,
