year,value,source,notes
1990,5952427272,Economic Commission for Latin America and the Caribbean,
1991,5387355893,Economic Commission for Latin America and the Caribbean,
1992,4498122113,Economic Commission for Latin America and the Caribbean,
1993,3981283841,Economic Commission for Latin America and the Caribbean,
1994,4285306354,Economic Commission for Latin America and the Caribbean,
1995,4560594250,Economic Commission for Latin America and the Caribbean,
1996,4920033524,Economic Commission for Latin America and the Caribbean,
1997,5223929526,Economic Commission for Latin America and the Caribbean,
1998,4799352396,Economic Commission for Latin America and the Caribbean,
1999,5144525167,Economic Commission for Latin America and the Caribbean,
2000,5409281343,Economic Commission for Latin America and the Caribbean,
2001,5376777292,Economic Commission for Latin America and the Caribbean,
2002,5768288018,Economic Commission for Latin America and the Caribbean,
2003,5675801218,Economic Commission for Latin America and the Caribbean,
2004,5847470822,Economic Commission for Latin America and the Caribbean,
2005,5923000000,Economic Commission for Latin America and the Caribbean,
2006,6198938569,Economic Commission for Latin America and the Caribbean,
2007,6797058087,Economic Commission for Latin America and the Caribbean,
2008,7151903344,Economic Commission for Latin America and the Caribbean,
2009,7217811211,Economic Commission for Latin America and the Caribbean,
2010,7295753450,Economic Commission for Latin America and the Caribbean,
2011,7583453661,Economic Commission for Latin America and the Caribbean,
2012,7755421458,Economic Commission for Latin America and the Caribbean,
