year,value,source,notes
1990,12861699,Economic Commission for Latin America and the Caribbean,
1991,13397603,Economic Commission for Latin America and the Caribbean,
1992,14420693,Economic Commission for Latin America and the Caribbean,
1993,14635054,Economic Commission for Latin America and the Caribbean,
1994,13227088,Economic Commission for Latin America and the Caribbean,
1995,13529143,Economic Commission for Latin America and the Caribbean,
1996,14342743,Economic Commission for Latin America and the Caribbean,
1997,14703260,Economic Commission for Latin America and the Caribbean,
1998,17178163,Economic Commission for Latin America and the Caribbean,
1999,14206331,Economic Commission for Latin America and the Caribbean,
2000,15258652,Economic Commission for Latin America and the Caribbean,
2001,14369817,Economic Commission for Latin America and the Caribbean,
2002,12748286,Economic Commission for Latin America and the Caribbean,
2003,13957153,Economic Commission for Latin America and the Caribbean,
2004,14937187,Economic Commission for Latin America and the Caribbean,
2005,14554431,Economic Commission for Latin America and the Caribbean,
2006,15334770,Economic Commission for Latin America and the Caribbean,
2007,14717727,Economic Commission for Latin America and the Caribbean,
2008,12918245,Economic Commission for Latin America and the Caribbean,
2009,12579711,Economic Commission for Latin America and the Caribbean,
2010,12395648,Economic Commission for Latin America and the Caribbean,
2011,11658654,Economic Commission for Latin America and the Caribbean,
2012,12096644,Economic Commission for Latin America and the Caribbean,
