year,value,source,notes
1990,11060563,Economic Commission for Latin America and the Caribbean,
1991,11703085,Economic Commission for Latin America and the Caribbean,
1992,13037554,Economic Commission for Latin America and the Caribbean,
1993,11413597,Economic Commission for Latin America and the Caribbean,
1994,12278531,Economic Commission for Latin America and the Caribbean,
1995,13224662,Economic Commission for Latin America and the Caribbean,
1996,13987216,Economic Commission for Latin America and the Caribbean,
1997,14728588,Economic Commission for Latin America and the Caribbean,
1998,16811490,Economic Commission for Latin America and the Caribbean,
1999,18837907,Economic Commission for Latin America and the Caribbean,
2000,19236836,Economic Commission for Latin America and the Caribbean,
2001,19443150,Economic Commission for Latin America and the Caribbean,
2002,20687328,Economic Commission for Latin America and the Caribbean,
2003,20205099,Economic Commission for Latin America and the Caribbean,
2004,16942656,Economic Commission for Latin America and the Caribbean,
2005,20141966,Economic Commission for Latin America and the Caribbean,
2006,19627452,Economic Commission for Latin America and the Caribbean,
2007,19972415,Economic Commission for Latin America and the Caribbean,
2008,18988292,Economic Commission for Latin America and the Caribbean,
2009,17988118,Economic Commission for Latin America and the Caribbean,
2010,18687665,Economic Commission for Latin America and the Caribbean,
2011,18661240,Economic Commission for Latin America and the Caribbean,
2012,18619931,Economic Commission for Latin America and the Caribbean,
