year,value,source,note
1990,1146909064,Economic Commission for Latin America and the Caribbean,
1991,1068110654,Economic Commission for Latin America and the Caribbean,
1992,1080464053,Economic Commission for Latin America and the Caribbean,
1993,1069432306,Economic Commission for Latin America and the Caribbean,
1994,1069216602,Economic Commission for Latin America and the Caribbean,
1995,1054355336,Economic Commission for Latin America and the Caribbean,
1996,999975895,Economic Commission for Latin America and the Caribbean,
1997,974122857,Economic Commission for Latin America and the Caribbean,
1998,925987959,Economic Commission for Latin America and the Caribbean,
1999,910446879,Economic Commission for Latin America and the Caribbean,
2000,914485609,Economic Commission for Latin America and the Caribbean,
2001,907430574,Economic Commission for Latin America and the Caribbean,
2002,889328323,Economic Commission for Latin America and the Caribbean,
2003,885603010,Economic Commission for Latin America and the Caribbean,
2004,902543286,Economic Commission for Latin America and the Caribbean,
2005,866976446,Economic Commission for Latin America and the Caribbean,
2006,850457425,Economic Commission for Latin America and the Caribbean,
2007,860537086,Economic Commission for Latin America and the Caribbean,
2008,855886789,Economic Commission for Latin America and the Caribbean,
2009,815112633,Economic Commission for Latin America and the Caribbean,
2010,783951883,Economic Commission for Latin America and the Caribbean,
2011,797986042,Economic Commission for Latin America and the Caribbean,
2012,790181571,Economic Commission for Latin America and the Caribbean,
