year,value,source,notes
1990,18227795,Economic Commission for Latin America and the Caribbean,
1991,17285658,Economic Commission for Latin America and the Caribbean,
1992,17762639,Economic Commission for Latin America and the Caribbean,
1993,18077999,Economic Commission for Latin America and the Caribbean,
1994,18322403,Economic Commission for Latin America and the Caribbean,
1995,19299507,Economic Commission for Latin America and the Caribbean,
1996,20314857,Economic Commission for Latin America and the Caribbean,
1997,22595528,Economic Commission for Latin America and the Caribbean,
1998,22394486,Economic Commission for Latin America and the Caribbean,
1999,24180211,Economic Commission for Latin America and the Caribbean,
2000,28291714,Economic Commission for Latin America and the Caribbean,
2001,36490627,Economic Commission for Latin America and the Caribbean,
2002,27593476,Economic Commission for Latin America and the Caribbean,
2003,30089579,Economic Commission for Latin America and the Caribbean,
2004,32454357,Economic Commission for Latin America and the Caribbean,
2005,35015777,Economic Commission for Latin America and the Caribbean,
2006,30660698,Economic Commission for Latin America and the Caribbean,
2007,32536481,Economic Commission for Latin America and the Caribbean,
2008,35868818,Economic Commission for Latin America and the Caribbean,
2009,35118245,Economic Commission for Latin America and the Caribbean,
2010,32102358,Economic Commission for Latin America and the Caribbean,
2011,31112194,Economic Commission for Latin America and the Caribbean,
2012,34274771,Economic Commission for Latin America and the Caribbean,
