year,value,source,notes
1990,39534381,Economic Commission for Latin America and the Caribbean,
1991,38383290,Economic Commission for Latin America and the Caribbean,
1992,38734729,Economic Commission for Latin America and the Caribbean,
1993,37935077,Economic Commission for Latin America and the Caribbean,
1994,36091294,Economic Commission for Latin America and the Caribbean,
1995,38230490,Economic Commission for Latin America and the Caribbean,
1996,35637988,Economic Commission for Latin America and the Caribbean,
1997,33870605,Economic Commission for Latin America and the Caribbean,
1998,36351053,Economic Commission for Latin America and the Caribbean,
1999,36356147,Economic Commission for Latin America and the Caribbean,
2000,37522518,Economic Commission for Latin America and the Caribbean,
2001,37459421,Economic Commission for Latin America and the Caribbean,
2002,35672561,Economic Commission for Latin America and the Caribbean,
2003,35832224,Economic Commission for Latin America and the Caribbean,
2004,40459071,Economic Commission for Latin America and the Caribbean,
2005,42114311,Economic Commission for Latin America and the Caribbean,
2006,43359102,Economic Commission for Latin America and the Caribbean,
2007,48979359,Economic Commission for Latin America and the Caribbean,
2008,46379023,Economic Commission for Latin America and the Caribbean,
2009,48981173,Economic Commission for Latin America and the Caribbean,
2010,47530497,Economic Commission for Latin America and the Caribbean,
2011,49417918,Economic Commission for Latin America and the Caribbean,
2012,49436265,Economic Commission for Latin America and the Caribbean,
