year,value,source,note
1990,421670146,Economic Commission for Latin America and the Caribbean,
1991,441887433,Economic Commission for Latin America and the Caribbean,
1992,443202379,Economic Commission for Latin America and the Caribbean,
1993,426338203,Economic Commission for Latin America and the Caribbean,
1994,434983970,Economic Commission for Latin America and the Caribbean,
1995,452383328,Economic Commission for Latin America and the Caribbean,
1996,472247972,Economic Commission for Latin America and the Caribbean,
1997,509602139,Economic Commission for Latin America and the Caribbean,
1998,568116470,Economic Commission for Latin America and the Caribbean,
1999,527323005,Economic Commission for Latin America and the Caribbean,
2000,559140365,Economic Commission for Latin America and the Caribbean,
2001,613798981,Economic Commission for Latin America and the Caribbean,
2002,637133768,Economic Commission for Latin America and the Caribbean,
2003,714664485,Economic Commission for Latin America and the Caribbean,
2004,772608170,Economic Commission for Latin America and the Caribbean,
2005,876727898,Economic Commission for Latin America and the Caribbean,
2006,992013776,Economic Commission for Latin America and the Caribbean,
2007,1129940413,Economic Commission for Latin America and the Caribbean,
2008,1176286107,Economic Commission for Latin America and the Caribbean,
2009,1198356220,Economic Commission for Latin America and the Caribbean,
2010,1212529828,Economic Commission for Latin America and the Caribbean,
2011,1199451243,Economic Commission for Latin America and the Caribbean,
2012,1224667619,Economic Commission for Latin America and the Caribbean,
