year,value,source,notes
1990,227473587,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,217039186,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,198216271,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,191623439,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,197062637,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,206293947,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,229745662,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,249986363,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,246757507,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,279083654,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,301167481,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,261545421,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,243841580,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,313686662,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,343891396,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,324565000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,359469760,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,314176375,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,291222850,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,273776058,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,300992729,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,295443324,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,343960484,CEPALStat: 733,"CEPALStat: 6432,6495"
