year,value,source,notes
1990,53936258,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,53847983,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,57940750,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,59986278,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,59367863,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,57036913,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,57274765,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,59605715,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,57369906,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,60985256,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,75256377,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,75303948,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,76540778,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,76302926,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,85769436,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,86150000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,112361292,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,116024213,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,121066675,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,155079514,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,142401479,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,138708001,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,128211849,CEPALStat: 733,"CEPALStat: 6432,6495"
