year,value,source,notes
1990,372670965,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,355288132,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,329001898,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,332817642,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,328153955,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,345112816,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,367159335,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,384966139,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,310347151,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,293812262,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,286604746,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,258622626,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,261166455,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,256926740,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,262438370,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,267950000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,266254113,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,263286313,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,257350712,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,225976819,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,216225474,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,204778243,CEPALStat: 733,"CEPALStat: 6495,6432"
2012,190787183,CEPALStat: 733,"CEPALStat: 6432,6495"
