year,value,source,notes
1990,1657459976,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1092388597,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,203154817,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,-313683455,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,-9660942,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,265626954,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,625066228,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,928962230,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,504385100,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,849557871,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1114314047,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,1081809996,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,1473320722,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1380833922,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1552503526,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,1628032704,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1903971273,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-1792876505,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-1438031248,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-1372123381,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-1294181142,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-1006480931,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-834513134,CEPALStat: 733,"CEPALStat: 6432,6495"
