year,value,source,notes
1990,39534381,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,38383290,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,38734729,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,37935077,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,36091294,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,38230490,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,35637988,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,33870605,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,36351053,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,36356147,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,37522518,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,37459421,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,35672561,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,35832224,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,40459071,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,42114311,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,43359102,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,48979359,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,46379023,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,48981173,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,47530497,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,49417918,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,49436265,CEPALStat: 733,"CEPALStat: 6432,6495"
