year,value,source,note
1990,96756234,Economic Commission for Latin America and the Caribbean,
1991,117401673,Economic Commission for Latin America and the Caribbean,
1992,103843475,Economic Commission for Latin America and the Caribbean,
1993,154686719,Economic Commission for Latin America and the Caribbean,
1994,164855368,Economic Commission for Latin America and the Caribbean,
1995,146058774,Economic Commission for Latin America and the Caribbean,
1996,168244917,Economic Commission for Latin America and the Caribbean,
1997,193512469,Economic Commission for Latin America and the Caribbean,
1998,198750864,Economic Commission for Latin America and the Caribbean,
1999,182111257,Economic Commission for Latin America and the Caribbean,
2000,192896188,Economic Commission for Latin America and the Caribbean,
2001,200907850,Economic Commission for Latin America and the Caribbean,
2002,187041511,Economic Commission for Latin America and the Caribbean,
2003,170710044,Economic Commission for Latin America and the Caribbean,
2004,159616973,Economic Commission for Latin America and the Caribbean,
2005,131268012,Economic Commission for Latin America and the Caribbean,
2006,102919052,Economic Commission for Latin America and the Caribbean,
2007,118063914,Economic Commission for Latin America and the Caribbean,
2008,117953902,Economic Commission for Latin America and the Caribbean,
2009,114532557,Economic Commission for Latin America and the Caribbean,
2010,108294928,Economic Commission for Latin America and the Caribbean,
2011,129087026,Economic Commission for Latin America and the Caribbean,
2012,148188620,Economic Commission for Latin America and the Caribbean,
