year,value,source,notes
1990,295979536,Economic Commission for Latin America and the Caribbean,
1991,312750955,Economic Commission for Latin America and the Caribbean,
1992,304809252,Economic Commission for Latin America and the Caribbean,
1993,305860385,Economic Commission for Latin America and the Caribbean,
1994,326999848,Economic Commission for Latin America and the Caribbean,
1995,310161697,Economic Commission for Latin America and the Caribbean,
1996,328971442,Economic Commission for Latin America and the Caribbean,
1997,343215477,Economic Commission for Latin America and the Caribbean,
1998,349492059,Economic Commission for Latin America and the Caribbean,
1999,349699924,Economic Commission for Latin America and the Caribbean,
2000,346065878,Economic Commission for Latin America and the Caribbean,
2001,356260944,Economic Commission for Latin America and the Caribbean,
2002,363602651,Economic Commission for Latin America and the Caribbean,
2003,382770538,Economic Commission for Latin America and the Caribbean,
2004,393594656,Economic Commission for Latin America and the Caribbean,
2005,403115250,Economic Commission for Latin America and the Caribbean,
2006,405887979,Economic Commission for Latin America and the Caribbean,
2007,394141648,Economic Commission for Latin America and the Caribbean,
2008,383661076,Economic Commission for Latin America and the Caribbean,
2009,190378997,Economic Commission for Latin America and the Caribbean,
2010,182354409,Economic Commission for Latin America and the Caribbean,
2011,217132737,Economic Commission for Latin America and the Caribbean,
2012,198243928,Economic Commission for Latin America and the Caribbean,
