year,value,source,notes
1990,2718743,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,3830814,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,3727586,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,3889655,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,3565517,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,3835632,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,3673563,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,3565517,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,3673563,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,3943678,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,4862068,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,5024137,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,4754022,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,4754022,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,5024137,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,4700000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,4862068,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,5618390,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,6698850,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,5942528,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,6212512,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,6439635,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,7015541,CEPALStat: 733,"CEPALStat: 6432,6495"
