year,value,source,notes
1990,212208128,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,189041302,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,244873353,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,223328205,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,225876556,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,352367427,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,410747829,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,422071405,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,372486061,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,382498486,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,509441736,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,491443209,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,328383711,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,338530351,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,298537426,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,299300000,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,318848068,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,331721186,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,342448785,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,331125209,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,355679490,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,360804898,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,368075826,CEPALStat: 733,"CEPALStat: 6432,6495"
