year,value,source,notes
1990,2711921,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,2274514,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,2554454,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,2659432,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,2851891,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,3219312,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,3123083,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,3245557,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,2939372,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,3053098,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,3236809,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2863155,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,2522672,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,3187621,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,4024413,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,3486499,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,3879880,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,4952116,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,6201151,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,3275879,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,3112084,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,3423293,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,2909799,CEPALStat: 733,"CEPALStat: 6432,6495"
