year,value,source,notes
1990,96756234,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,117401673,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,103843475,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,154686719,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,164855368,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,146058774,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,168244917,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,193512469,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,198750864,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,182111257,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,192896188,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,200907850,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,187041511,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,170710044,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,159616973,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,131268012,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,102919052,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,118063914,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,117953902,CEPALStat: 733,"CEPALStat: 6495,6432"
2009,114532557,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,108294928,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,129087026,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,148188620,CEPALStat: 733,"CEPALStat: 6432,6495"
