year,value,source,notes
1990,295979536,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,312750955,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,304809252,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,305860385,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,326999848,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,310161697,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,328971442,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,343215477,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,349492059,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,349699924,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,346065878,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,356260944,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,363602651,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,382770538,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,393594656,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,403115250,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,405887979,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,394141648,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,383661076,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,190378997,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,182354409,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,217132737,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,198243928,CEPALStat: 733,"CEPALStat: 6432,6495"
