year,value,source,notes
1990,1311000,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1478894,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1925420,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1782531,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1414594,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1792176,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1839687,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,2046875,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,2082597,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,2400523,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,2736311,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2818920,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,2822597,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,924780,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,933398,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,2104166,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,9847781,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,15770789,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,12004338,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,9909594,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,10952261,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,10528545,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,18789626,CEPALStat: 733,"CEPALStat: 6432,6495"
