year,value,source,notes
1990,71849371,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,69569497,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,68963156,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,67627608,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,77282869,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,78516057,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,82709844,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,92790064,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,98864211,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,104338619,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,94820648,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,118525810,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,108734547,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,109014453,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,141715642,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,163359486,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,178819374,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,199715891,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,207937471,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,180189637,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,189781481,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,195262535,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,189079495,CEPALStat: 733,"CEPALStat: 6432,6495"
