year,value,source,notes
1990,-1731565553,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,-1714226669,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-1818025665,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,-1988661375,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,-1783699361,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,-1783699361,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,-1595802120,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,-1572690280,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-1330192580,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-689040872,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-239596325,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-13095247,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,564473670,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,2089123399,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-1680655088,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-1257930453,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,519233790,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,672337114,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,644784571,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,479267464,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,768644858,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,403497972,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,170487227,CEPALStat: 733,"CEPALStat: 6432,6495"
