year,value,source,notes
1990,558955,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,600189,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,655169,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,783454,CEPALStat: 733,"CEPALStat: 6495,6432"
1994,838433,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,879667,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,820106,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,897994,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,870504,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,861341,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,710148,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,731508,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,705618,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,799770,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1299184,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,1344901,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1412146,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1606542,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1687793,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1733930,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1355339,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1020166,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,718187,CEPALStat: 733,"CEPALStat: 6495,6432"
