year,value,source,notes
1990,25331145,Economic Commission for Latin America and the Caribbean,
1991,29212022,Economic Commission for Latin America and the Caribbean,
1992,27138593,Economic Commission for Latin America and the Caribbean,
1993,31200291,Economic Commission for Latin America and the Caribbean,
1994,36477976,Economic Commission for Latin America and the Caribbean,
1995,39033514,Economic Commission for Latin America and the Caribbean,
1996,42101814,Economic Commission for Latin America and the Caribbean,
1997,46293261,Economic Commission for Latin America and the Caribbean,
1998,50913488,Economic Commission for Latin America and the Caribbean,
1999,61329961,Economic Commission for Latin America and the Caribbean,
2000,60583679,Economic Commission for Latin America and the Caribbean,
2001,53835341,Economic Commission for Latin America and the Caribbean,
2002,52105187,Economic Commission for Latin America and the Caribbean,
2003,55454487,Economic Commission for Latin America and the Caribbean,
2004,56400513,Economic Commission for Latin America and the Caribbean,
2005,58483463,Economic Commission for Latin America and the Caribbean,
2006,54842288,Economic Commission for Latin America and the Caribbean,
2007,52536351,Economic Commission for Latin America and the Caribbean,
2008,55363313,Economic Commission for Latin America and the Caribbean,
2009,51337431,Economic Commission for Latin America and the Caribbean,
2010,47155288,Economic Commission for Latin America and the Caribbean,
2011,49561377,Economic Commission for Latin America and the Caribbean,
2012,44798710,Economic Commission for Latin America and the Caribbean,
