year,value,source,note
2000,20238264,Economic Commission for Latin America and the Caribbean,
2001,19433520,Economic Commission for Latin America and the Caribbean,
2002,16555000,Economic Commission for Latin America and the Caribbean,
2003,16248235,Economic Commission for Latin America and the Caribbean,
2004,17058659,Economic Commission for Latin America and the Caribbean,
2005,18390445,Economic Commission for Latin America and the Caribbean,
2006,19659348,Economic Commission for Latin America and the Caribbean,
2007,20536479,Economic Commission for Latin America and the Caribbean,
2008,22108784,Economic Commission for Latin America and the Caribbean,
2009,20994202,Economic Commission for Latin America and the Caribbean,
2010,20782513,Economic Commission for Latin America and the Caribbean,
2011,20889870,Economic Commission for Latin America and the Caribbean,
2012,20994319,Economic Commission for Latin America and the Caribbean,
