year,value,source,note
2000,46754253,Economic Commission for Latin America and the Caribbean,
2001,51393209,Economic Commission for Latin America and the Caribbean,
2002,54719508,Economic Commission for Latin America and the Caribbean,
2003,57283748,Economic Commission for Latin America and the Caribbean,
2004,58079651,Economic Commission for Latin America and the Caribbean,
2005,61102040,Economic Commission for Latin America and the Caribbean,
2006,56747967,Economic Commission for Latin America and the Caribbean,
2007,60095257,Economic Commission for Latin America and the Caribbean,
2008,61476284,Economic Commission for Latin America and the Caribbean,
2009,62484419,Economic Commission for Latin America and the Caribbean,
2010,61741889,Economic Commission for Latin America and the Caribbean,
2011,59034352,Economic Commission for Latin America and the Caribbean,
2012,55888387,Economic Commission for Latin America and the Caribbean,
