year,value,source,notes
2000,14776315,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,14478437,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,16359018,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,16287645,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,17140594,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,20456864,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,23116947,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,25121127,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,27516732,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,29878602,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,32561307,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,33082317,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,32776448,CEPALStat: 733,"CEPALStat: 6432,6495"
