year,value,source,notes
1990,65371526,Economic Commission for Latin America and the Caribbean,
1991,66447601,Economic Commission for Latin America and the Caribbean,
1992,66474503,Economic Commission for Latin America and the Caribbean,
1993,68070680,Economic Commission for Latin America and the Caribbean,
1994,68859801,Economic Commission for Latin America and the Caribbean,
1995,68483175,Economic Commission for Latin America and the Caribbean,
1996,69639955,Economic Commission for Latin America and the Caribbean,
1997,71594824,Economic Commission for Latin America and the Caribbean,
1998,75468692,Economic Commission for Latin America and the Caribbean,
1999,75791515,Economic Commission for Latin America and the Caribbean,
2000,78894196,Economic Commission for Latin America and the Caribbean,
2001,82711173,Economic Commission for Latin America and the Caribbean,
2002,86567345,Economic Commission for Latin America and the Caribbean,
2003,99779363,Economic Commission for Latin America and the Caribbean,
2004,92685532,Economic Commission for Latin America and the Caribbean,
2005,83319105,Economic Commission for Latin America and the Caribbean,
2006,89658600,Economic Commission for Latin America and the Caribbean,
2007,87669583,Economic Commission for Latin America and the Caribbean,
2008,90083473,Economic Commission for Latin America and the Caribbean,
2009,92158057,Economic Commission for Latin America and the Caribbean,
2010,96090053,Economic Commission for Latin America and the Caribbean,
2011,93976219,Economic Commission for Latin America and the Caribbean,
2012,95171810,Economic Commission for Latin America and the Caribbean,
