year,value,source,note
1990,79626504,Economic Commission for Latin America and the Caribbean,
1991,78869795,Economic Commission for Latin America and the Caribbean,
1992,75443963,Economic Commission for Latin America and the Caribbean,
1993,71660414,Economic Commission for Latin America and the Caribbean,
1994,68688609,Economic Commission for Latin America and the Caribbean,
1995,68048776,Economic Commission for Latin America and the Caribbean,
1996,69300856,Economic Commission for Latin America and the Caribbean,
1997,69679211,Economic Commission for Latin America and the Caribbean,
1998,72712929,Economic Commission for Latin America and the Caribbean,
1999,75443963,Economic Commission for Latin America and the Caribbean,
2000,109227615,Economic Commission for Latin America and the Caribbean,
2001,112148782,Economic Commission for Latin America and the Caribbean,
2002,120084652,Economic Commission for Latin America and the Caribbean,
2003,129718199,Economic Commission for Latin America and the Caribbean,
2004,132678765,Economic Commission for Latin America and the Caribbean,
2005,136616844,Economic Commission for Latin America and the Caribbean,
2006,144323594,Economic Commission for Latin America and the Caribbean,
2007,164921339,Economic Commission for Latin America and the Caribbean,
2008,181301409,Economic Commission for Latin America and the Caribbean,
2009,188266592,Economic Commission for Latin America and the Caribbean,
2010,190318390,Economic Commission for Latin America and the Caribbean,
2011,194373230,Economic Commission for Latin America and the Caribbean,
2012,194944665,Economic Commission for Latin America and the Caribbean,
