year,value,source,notes
1990,1546517014,Economic Commission for Latin America and the Caribbean,
1991,1531559852,Economic Commission for Latin America and the Caribbean,
1992,1486535351,Economic Commission for Latin America and the Caribbean,
1993,1494836385,Economic Commission for Latin America and the Caribbean,
1994,1468211871,Economic Commission for Latin America and the Caribbean,
1995,1453529752,Economic Commission for Latin America and the Caribbean,
1996,1488958464,Economic Commission for Latin America and the Caribbean,
1997,1502171728,Economic Commission for Latin America and the Caribbean,
1998,1555859454,Economic Commission for Latin America and the Caribbean,
1999,1504223038,Economic Commission for Latin America and the Caribbean,
2000,1440231607,Economic Commission for Latin America and the Caribbean,
2001,1433865473,Economic Commission for Latin America and the Caribbean,
2002,1495569812,Economic Commission for Latin America and the Caribbean,
2003,1536808210,Economic Commission for Latin America and the Caribbean,
2004,1626830054,Economic Commission for Latin America and the Caribbean,
2005,1645527624,Economic Commission for Latin America and the Caribbean,
2006,1667243212,Economic Commission for Latin America and the Caribbean,
2007,1657434651,Economic Commission for Latin America and the Caribbean,
2008,1648144812,Economic Commission for Latin America and the Caribbean,
2009,1865560061,Economic Commission for Latin America and the Caribbean,
2010,1890270090,Economic Commission for Latin America and the Caribbean,
2011,1877608558,Economic Commission for Latin America and the Caribbean,
2012,1899795712,Economic Commission for Latin America and the Caribbean,
