year,value,source,notes
1990,54033249,Economic Commission for Latin America and the Caribbean,
1991,55352650,Economic Commission for Latin America and the Caribbean,
1992,59379930,Economic Commission for Latin America and the Caribbean,
1993,63158527,Economic Commission for Latin America and the Caribbean,
1994,65728250,Economic Commission for Latin America and the Caribbean,
1995,65797328,Economic Commission for Latin America and the Caribbean,
1996,66778244,Economic Commission for Latin America and the Caribbean,
1997,68760798,Economic Commission for Latin America and the Caribbean,
1998,70460131,Economic Commission for Latin America and the Caribbean,
1999,70625919,Economic Commission for Latin America and the Caribbean,
2000,72401238,Economic Commission for Latin America and the Caribbean,
2001,75465355,Economic Commission for Latin America and the Caribbean,
2002,78116730,Economic Commission for Latin America and the Caribbean,
2003,79615617,Economic Commission for Latin America and the Caribbean,
2004,81862484,Economic Commission for Latin America and the Caribbean,
2005,85642169,Economic Commission for Latin America and the Caribbean,
2006,88733542,Economic Commission for Latin America and the Caribbean,
2007,90406010,Economic Commission for Latin America and the Caribbean,
2008,90664848,Economic Commission for Latin America and the Caribbean,
2009,94295272,Economic Commission for Latin America and the Caribbean,
2010,99425466,Economic Commission for Latin America and the Caribbean,
2011,103136482,Economic Commission for Latin America and the Caribbean,
2012,107524836,Economic Commission for Latin America and the Caribbean,
