year,value,source,notes
1990,97049459,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,99601827,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,99037671,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,102103781,CEPALStat: 733,"CEPALStat: 6495,6432"
1994,107495304,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,109864512,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,111584623,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,114857932,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,124580497,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,126532057,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,131076115,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,136807596,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,141361415,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,147641855,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,151198169,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,158381884,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,171572915,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,179282785,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,177409109,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,175164173,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,165565386,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,166202866,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,169562646,CEPALStat: 733,"CEPALStat: 6495,6432"
