year,value,source,notes
1990,1412532780,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1422928772,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1412646400,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1477469616,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1525122170,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1592941170,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1518024127,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1602424596,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1577262326,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1601517900,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1588831050,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,1609058615,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,1587418887,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1519411824,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1573346426,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,1551985000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1497806515,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1554110128,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1503577109,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1413117045,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1458612103,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1465637517,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1466179370,CEPALStat: 733,"CEPALStat: 6432,6495"
