year,value,source,notes
1990,121259836,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,124598478,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,128500314,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,136748241,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,143023837,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,141171042,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,143920351,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,145175471,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,150195948,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,151869440,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,158682945,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,165317148,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,171772047,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,181813002,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,185638128,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,190300000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,187311620,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,194603266,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,201476538,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,210381909,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,212328487,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,212999747,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,223511267,CEPALStat: 733,"CEPALStat: 6432,6495"
