year,value,source,notes
1990,-267335451,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,-403220853,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-491339155,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,-415435271,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,-562008288,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,-850355801,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,-714688514,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,-429675498,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-414948767,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-27864274,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,268574654,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,768013945,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,834919005,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1547852024,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-1295314744,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-2085169184,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-874458589,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1513644529,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-1378943196,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-742139058,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,277687028,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,411624102,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,507347851,CEPALStat: 733,"CEPALStat: 6495,6432"
