year,value,source,notes
1990,65371526,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,66447601,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,66474503,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,68070680,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,68859801,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,68483175,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,69639955,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,71594824,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,75468692,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,75791515,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,78894196,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,82711173,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,86567345,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,99779363,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,92685532,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,83319105,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,89658600,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,87669583,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,90083473,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,92158057,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,96090053,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,93976219,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,95171810,CEPALStat: 733,"CEPALStat: 6432,6495"
