year,value,source,notes
1990,79626504,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,78869795,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,75443963,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,71660414,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,68688609,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,68048776,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,69300856,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,69679211,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,72712929,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,75443963,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,109227615,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,112148782,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,120084652,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,129718199,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,132678765,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,136616844,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,144323594,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,164921339,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,181301409,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,188266592,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,190318390,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,194373230,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,194944665,CEPALStat: 733,"CEPALStat: 6432,6495"
