year,value,source,notes
1990,1638867646,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1621026741,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1627273844,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1673342271,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1665263679,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1678806171,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1664955039,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1651912711,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1651960221,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1649582820,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1643895831,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,1659819867,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,1683342606,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1706250705,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1719704334,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,1742035654,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1777151195,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1804650053,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1810167690,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1807993177,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1803315554,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1812165657,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1817774377,CEPALStat: 733,"CEPALStat: 6432,6495"
