year,value,source,notes
1990,58901745,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,60264189,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,61597174,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,62178974,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,65434109,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,66722386,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,69367904,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,71583516,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,73748697,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,75943335,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,78093787,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,76061814,CEPALStat: 733,"CEPALStat: 6495,6432"
2002,79459685,CEPALStat: 733,"CEPALStat: 6495,6432"
2003,80198110,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,83278489,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,88295152,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,94141050,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,98629805,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,103838369,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,109534175,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,109242312,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,112372828,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,113471751,CEPALStat: 733,"CEPALStat: 6432,6495"
