year,value,source,notes
1990,92344513,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,94662810,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,93160319,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,101564879,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,105250677,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,108091325,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,109629030,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,110896757,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,113015504,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,117652098,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,119401092,CEPALStat: 733,"CEPALStat: 6495,6432"
2001,123999297,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,116892875,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,114793425,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,115943674,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,120093921,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,124358691,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,129921475,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,135530446,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,143624147,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,147510447,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,154186828,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,155041558,CEPALStat: 733,"CEPALStat: 6432,6495"
