year,value,source,notes
1990,239702783,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,234871111,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,233027413,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,224185678,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,210878987,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,210157540,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,203840870,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,204385963,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,210706641,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,214830914,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,219239757,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,221644581,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,222001296,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,223508319,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,223648601,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,234069503,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,243287994,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,251829582,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,261254783,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,260960245,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,266261921,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,263611083,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,269796960,CEPALStat: 733,"CEPALStat: 6432,6495"
