year,value,source,notes
1990,76919450,Economic Commission for Latin America and the Caribbean,
1991,76087558,Economic Commission for Latin America and the Caribbean,
1992,77850041,Economic Commission for Latin America and the Caribbean,
1993,80613614,Economic Commission for Latin America and the Caribbean,
1994,87992542,Economic Commission for Latin America and the Caribbean,
1995,87701145,Economic Commission for Latin America and the Caribbean,
1996,96560559,Economic Commission for Latin America and the Caribbean,
1997,98050444,Economic Commission for Latin America and the Caribbean,
1998,99695428,Economic Commission for Latin America and the Caribbean,
1999,99413431,Economic Commission for Latin America and the Caribbean,
2000,90742016,Economic Commission for Latin America and the Caribbean,
2001,96981933,Economic Commission for Latin America and the Caribbean,
2002,102637087,Economic Commission for Latin America and the Caribbean,
2003,110247562,Economic Commission for Latin America and the Caribbean,
2004,132124759,Economic Commission for Latin America and the Caribbean,
2005,131023333,Economic Commission for Latin America and the Caribbean,
2006,154277743,Economic Commission for Latin America and the Caribbean,
2007,192650595,Economic Commission for Latin America and the Caribbean,
2008,177408601,Economic Commission for Latin America and the Caribbean,
2009,141510051,Economic Commission for Latin America and the Caribbean,
2010,144475370,Economic Commission for Latin America and the Caribbean,
2011,142592545,Economic Commission for Latin America and the Caribbean,
2012,151769601,Economic Commission for Latin America and the Caribbean,
