year,value,source,notes
1990,25558599,Economic Commission for Latin America and the Caribbean,
1991,26111516,Economic Commission for Latin America and the Caribbean,
1992,26825470,Economic Commission for Latin America and the Caribbean,
1993,27324478,Economic Commission for Latin America and the Caribbean,
1994,32641469,Economic Commission for Latin America and the Caribbean,
1995,37110355,Economic Commission for Latin America and the Caribbean,
1996,37668369,Economic Commission for Latin America and the Caribbean,
1997,39647652,Economic Commission for Latin America and the Caribbean,
1998,41717552,Economic Commission for Latin America and the Caribbean,
1999,39890889,Economic Commission for Latin America and the Caribbean,
2000,38708089,Economic Commission for Latin America and the Caribbean,
2001,38547387,Economic Commission for Latin America and the Caribbean,
2002,38405213,Economic Commission for Latin America and the Caribbean,
2003,45502123,Economic Commission for Latin America and the Caribbean,
2004,52171959,Economic Commission for Latin America and the Caribbean,
2005,56339572,Economic Commission for Latin America and the Caribbean,
2006,61634907,Economic Commission for Latin America and the Caribbean,
2007,71557679,Economic Commission for Latin America and the Caribbean,
2008,77204073,Economic Commission for Latin America and the Caribbean,
2009,75131277,Economic Commission for Latin America and the Caribbean,
2010,77699061,Economic Commission for Latin America and the Caribbean,
2011,72514102,Economic Commission for Latin America and the Caribbean,
2012,68327693,Economic Commission for Latin America and the Caribbean,
