year,value,source,note
1995,41980891,Economic Commission for Latin America and the Caribbean,
1996,46615837,Economic Commission for Latin America and the Caribbean,
1997,50270518,Economic Commission for Latin America and the Caribbean,
1998,50542222,Economic Commission for Latin America and the Caribbean,
1999,51559779,Economic Commission for Latin America and the Caribbean,
2000,47766582,Economic Commission for Latin America and the Caribbean,
2001,48909537,Economic Commission for Latin America and the Caribbean,
2002,52689727,Economic Commission for Latin America and the Caribbean,
2003,59331414,Economic Commission for Latin America and the Caribbean,
2004,64849177,Economic Commission for Latin America and the Caribbean,
2005,73173425,Economic Commission for Latin America and the Caribbean,
2006,83701460,Economic Commission for Latin America and the Caribbean,
2007,76307030,Economic Commission for Latin America and the Caribbean,
2008,83107663,Economic Commission for Latin America and the Caribbean,
2009,68728457,Economic Commission for Latin America and the Caribbean,
2010,69584904,Economic Commission for Latin America and the Caribbean,
2011,88403352,Economic Commission for Latin America and the Caribbean,
2012,85553348,Economic Commission for Latin America and the Caribbean,
