year,value,source,notes
1990,452230892,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,212787497,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,88856156,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,89221350,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,129545186,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,62132989,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,318388175,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,426628469,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,465053525,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,501666161,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,540818730,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,569269114,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,531466802,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,537397556,CEPALStat: 733,"CEPALStat: 6495,6432"
2004,523427924,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,515813999,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,593164460,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,602555554,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,598850424,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,535863217,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,500259112,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,522166770,CEPALStat: 733,"CEPALStat: 6495,6432"
2012,521220904,CEPALStat: 733,"CEPALStat: 6432,6495"
