year,value,source,notes
1990,80676436,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,80099859,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,81112631,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,84864421,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,82380842,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,83701894,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,84177473,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,87506526,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,93794736,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,102619368,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,110228631,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,126821052,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,138657684,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,150652842,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,152766526,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,150600000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,162648000,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,178764842,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,185475789,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,150758526,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,164616933,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,183577261,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,200101520,CEPALStat: 733,"CEPALStat: 6432,6495"
