year,value,source,notes
1990,25558599,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,26111516,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,26825470,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,27324478,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,32641469,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,37110355,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,37668369,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,39647652,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,41717552,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,39890889,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,38708089,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,38547387,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,38405213,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,45502123,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,52171959,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,56339572,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,61634907,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,71557679,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,77204073,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,75131277,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,77699061,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,72514102,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,68327693,CEPALStat: 733,"CEPALStat: 6432,6495"
