year,value,source,notes
1990,881127960,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,999565871,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1186066820,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1419050735,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1383118629,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1381331698,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1557122444,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1778963650,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-2091988855,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-2110814229,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-1671195093,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-1931517912,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-1866573788,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,2012038618,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,2036611763,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,-1675326659,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-959529961,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-15859742,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,307688561,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,554649234,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1087792006,CEPALStat: 733,"CEPALStat: 6495,6432"
2011,1617212954,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,2141569035,CEPALStat: 733,"CEPALStat: 6432,6495"
