year,value,source,notes
1990,58427281,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,45875917,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,46379081,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,45811400,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,47336593,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,48797327,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,56778954,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,62356773,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,52859274,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,53227204,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,76475473,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,70516717,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,73489837,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,84922727,CEPALStat: 733,"CEPALStat: 6495,6432"
2004,80302639,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,95158441,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,93698647,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,98513820,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,94942885,CEPALStat: 733,"CEPALStat: 6495,6432"
2009,82589151,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,90802417,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,95060356,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,89838701,CEPALStat: 733,"CEPALStat: 6432,6495"
