year,value,source,notes
1990,247481952,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,254482114,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,250705932,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,246973567,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,258132601,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,288442988,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,305330884,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,354607827,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,434317178,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,390416246,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,385135217,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,390492232,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,424135049,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,406221341,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,536499398,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,488780168,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,701731031,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,748250271,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,678954217,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,552433498,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,584656323,CEPALStat: 733,"CEPALStat: 6495,6432"
2011,460127257,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,566209938,CEPALStat: 733,"CEPALStat: 6432,6495"
