year,value,source,notes
1990,1111949933,Economic Commission for Latin America and the Caribbean,
1991,1145994110,Economic Commission for Latin America and the Caribbean,
1992,1302282783,Economic Commission for Latin America and the Caribbean,
1993,1414085044,Economic Commission for Latin America and the Caribbean,
1994,1456812770,Economic Commission for Latin America and the Caribbean,
1995,1503995836,Economic Commission for Latin America and the Caribbean,
1996,1674906738,Economic Commission for Latin America and the Caribbean,
1997,1970064706,Economic Commission for Latin America and the Caribbean,
1998,2155882576,Economic Commission for Latin America and the Caribbean,
1999,2297230783,Economic Commission for Latin America and the Caribbean,
2000,2412148433,Economic Commission for Latin America and the Caribbean,
2001,2465612525,Economic Commission for Latin America and the Caribbean,
2002,2472932014,Economic Commission for Latin America and the Caribbean,
2003,2295421848,Economic Commission for Latin America and the Caribbean,
2004,2326776729,Economic Commission for Latin America and the Caribbean,
2005,2528925266,Economic Commission for Latin America and the Caribbean,
2006,2629940912,Economic Commission for Latin America and the Caribbean,
2007,2808070806,Economic Commission for Latin America and the Caribbean,
2008,2926522580,Economic Commission for Latin America and the Caribbean,
2009,2939804856,Economic Commission for Latin America and the Caribbean,
2010,3125605976,Economic Commission for Latin America and the Caribbean,
2011,3259115462,Economic Commission for Latin America and the Caribbean,
2012,3370900974,Economic Commission for Latin America and the Caribbean,
